,distribution,frequency
1376,electron,3266
660,taken,3230
204,major,3228
875,upon,3226
397,magnetic,3218
464,sec,3139
82,important,3122
1850,vector,3118
209,addition,3109
1710,light,3102
581,loss,3074
37,basic,3066
89,many,3061
320,failure,3047
110,curve,3047
60,parameter,3040
821,base,3036
2093,radius,3018
151,storage,3008
1721,altitude,2993
1441,film,2971
2375,hydrogen,2960
166,ion,2956
996,silicon,2948
99,filter,2937
910,division,2921
2015,plate,2918
658,technique,2915
807,edge,2910
200,concept,2905
849,side,2902
195,paper,2897
278,variable,2888
2807,tube,2873
591,even,2855
150,flux,2848
424,note,2848
238,element,2846
4,group,2837
2665,inlet,2833
1515,profile,2832
1461,electric,2830
1069,spectral,2830
1383,direct,2807
153,primary,2803
1925,tunnel,2796
721,obtain,2788
223,dynamic,2761
683,vertical,2757
62,sin,2756
850,indicate,2749
297,long,2743
107,loop,2738
337,include,2731
1243,body,2717
2031,turbine,2714
2132,fluid,2693
626,equal,2685
916,date,2684
2218,chamber,2673
981,growth,2672
214,description,2666
776,peak,2660
180,command,2660
377,actual,2652
243,good,2639
2378,plant,2613
58,stage,2594
2354,vacuum,2590
1618,wall,2589
2077,atmosphere,2588
880,channel,2585
282,quality,2582
2393,thrust,2580
32,code,2574
596,seen,2561
1882,co,2560
657,accuracy,2555
1323,local,2545
1417,metal,2543
882,height,2541
656,basis,2534
321,amount,2499
437,complete,2497
2287,trajectory,2496
184,particular,2492
2926,coal,2481
434,magnitude,2480
2368,launch,2475
72,digital,2462
2133,pump,2457
2168,specimen,2451
100,introduction,2450
326,limit,2445
1148,task,2441
762,run,2439
1661,structural,2438
425,impact,2429
1270,image,2426
949,capacity,2404
356,known,2394
648,criterion,2386
2323,shall,2369
1329,contact,2360
10,institute,2354
308,another,2343
1108,free,2341
117,gain,2335
95,step,2322
310,view,2317
139,term,2305
470,interest,2302
2002,shock,2285
2374,oxygen,2274
994,main,2266
645,supply,2261
892,panel,2260
566,rather,2250
2427,carbon,2235
1044,band,2227
997,device,2216
1349,life,2214
123,positive,2195
1553,solid,2190
651,detector,2187
611,discussion,2186
1552,shear,2181
1424,static,2175
2573,exposure,2169
516,occur,2161
1934,motor,2160
50,index,2155
475,pattern,2146
51,simple,2144
1529,absorption,2137
1489,company,2124
3620,photo,2123
1967,preliminary,2113
355,complex,2111
2235,sheet,2111
413,prior,2105
872,valve,2100
1544,particle,2098
534,respect,2091
3140,plasma,2086
393,equivalent,2070
3477,blade,2067
655,might,2051
501,fact,2040
890,cross,2038
157,pulse,2033
2917,seal,2030
1808,subject,2027
876,internal,2024
509,except,2024
2671,nozzle,2018
633,degree,2018
1307,least,2010
407,let,2009
304,special,2008
846,versus,2007
799,angular,1992
2468,atmospheric,1990
500,previous,1989
498,product,1987
1003,appropriate,1985
914,differential,1980
1221,original,1973
357,produce,1972
2384,attitude,1966
2668,aerodynamic,1965
1694,nitrogen,1962
556,amplitude,1960
488,effort,1959
1171,shape,1957
2252,emission,1950
1402,drive,1948
2560,sensor,1939
132,list,1916
175,certain,1916
43,block,1916
106,open,1911
1821,moment,1911
218,parallel,1910
44,diagram,1909
3512,tank,1909
24,conversion,1900
1973,steel,1894
2557,target,1892
5,module,1891
1864,radial,1889
2521,tape,1884
965,transmission,1878
2666,core,1867
1607,around,1864
1140,require,1861
1863,hence,1859
1965,disk,1856
335,future,1855
1563,wavelength,1854
1929,propulsion,1853
855,full,1852
398,path,1850
747,conference,1849
190,best,1846
394,next,1830
318,short,1828
376,individual,1825
1673,pilot,1824
1395,medium,1821
1381,yield,1814
968,estimate,1811
936,year,1809
822,independent,1803
144,continuous,1799
1014,none,1794
2802,attack,1789
2306,lunar,1788
3594,vortex,1785
1322,purpose,1779
467,payload,1775
3130,pitch,1766
65,make,1759
728,ill,1758
228,call,1756
835,psi,1755
154,secondary,1737
1110,need,1736
760,scientific,1727
1550,longitudinal,1726
486,cause,1696
706,five,1695
1582,square,1694
1748,inch,1690
739,interval,1684
514,close,1682
1567,foot,1681
1558,depth,1680
723,appear,1680
143,switch,1668
1960,rotor,1666
2119,axial,1664
583,useful,1663
552,central,1662
1511,strain,1662
490,optimum,1654
2673,drag,1653
105,controlled,1652
279,width,1638
436,real,1635
713,horizontal,1634
451,consider,1630
755,instrument,1630
1701,drop,1627
782,combustion,1620
558,reduce,1615
827,crystal,1609
1534,equilibrium,1596
871,ring,1595
2386,grid,1593
179,external,1591
480,still,1590
217,hardware,1589
3071,probe,1588
1990,plan,1585
1274,safety,1583
171,definition,1581
262,across,1580
121,oil,1578
2362,sun,1574
2064,diffusion,1566
1746,day,1566
341,nature,1565
860,decrease,1562
920,service,1550
544,sufficient,1550
2025,glass,1544
773,measure,1543
667,transport,1543
1427,transition,1532
97,charge,1530
540,back,1530
114,characteristic,1530
186,chosen,1529
1390,thin,1527
1486,science,1526
1635,influence,1520
1503,give,1518
2669,exit,1511
1172,way,1508
900,occurred,1506
905,start,1505
255,front,1505
1018,acoustic,1501
372,uniform,1499
932,document,1499
269,third,1498
1094,content,1497
2090,gradient,1495
1127,remote,1492
115,top,1491
786,format,1490
1444,composite,1486
780,expansion,1485
2646,wire,1481
826,memory,1476
40,common,1476
174,nominal,1473
1409,oxide,1472
1570,flat,1471
3154,friction,1470
536,right,1470
746,electronic,1466
363,entire,1465
1504,alloy,1462
1760,column,1458
924,class,1449
1396,collector,1444
1403,electrode,1439
1478,far,1439
504,min,1439
1088,site,1439
391,later,1437
605,little,1437
833,done,1434
1064,software,1432
411,place,1431
1532,camera,1429
868,last,1425
1657,written,1420
2269,press,1419
2266,north,1419
680,natural,1413
539,left,1411
1144,stream,1410
726,room,1408
288,hand,1407
1938,battery,1405
2379,lift,1404
899,status,1404
294,quite,1401
917,name,1399
3004,head,1395
1412,substrate,1394
333,become,1392
2022,tensile,1385
382,dependent,1382
2073,sound,1381
477,toward,1377
358,difficult,1368
549,forward,1366
1723,damage,1366
1049,survey,1364
365,shift,1361
515,course,1343
1007,frame,1342
859,rise,1337
1923,coordinate,1335
893,whether,1332
737,allow,1332
1477,momentum,1330
360,stable,1330
1860,lateral,1323
788,fraction,1319
1039,lead,1318
784,develop,1317
1913,journal,1317
1324,read,1317
1926,infrared,1316
2009,fatigue,1312
1189,etc,1309
1279,mechanism,1307
1766,installation,1303
1436,file,1300
1566,six,1300
1603,balance,1300
4613,soil,1299
1613,torque,1298
3592,wake,1296
2036,hot,1296
836,integral,1294
189,attention,1292
1223,office,1291
2222,titanium,1290
661,accurate,1288
3282,feed,1288
4672,atlas,1287
1126,cover,1286
1521,fan,1286
235,expression,1284
1005,radio,1282
496,assume,1277
116,plot,1273
751,annual,1271
81,throughout,1270
484,phenomenon,1264
416,apparent,1264
505,wide,1260
2005,apparatus,1257
455,proper,1256
1957,progress,1255
1645,write,1254
759,instrumentation,1251
220,detail,1251
1213,maintenance,1251
49,key,1249
2594,roll,1247
191,network,1243
3948,zone,1241
1043,arc,1239
396,together,1239
2259,guidance,1238
1809,march,1236
1543,alpha,1236
19,author,1234
816,every,1234
409,turn,1233
864,compression,1232
1677,continue,1231
885,logic,1229
2194,poor,1227
1507,tab,1225
617,assumption,1223
743,august,1222
837,finite,1219
1476,background,1216
1946,acid,1214
2319,rocket,1214
422,practical,1212
889,enough,1211
647,slope,1211
176,quantity,1210
1749,thick,1209
2058,ambient,1208
366,delay,1204
1232,able,1204
2023,schematic,1194
831,face,1194
1325,random,1193
663,account,1188
1196,identical,1188
638,duct,1181
148,steady,1177
745,aerospace,1177
1326,principal,1176
417,applicable,1175
2417,orbital,1172
253,optimal,1171
4476,pod,1168
212,law,1165
2055,elastic,1165
2813,radar,1162
918,star,1158
3155,cathode,1158
3589,aperture,1150
5095,wear,1148
295,true,1146
701,take,1139
281,extent,1138
303,half,1138
1206,exist,1138
878,separate,1137
2249,mirror,1136
251,feedback,1132
2313,propellant,1132
2318,personnel,1132
1092,commercial,1131
183,multiple,1129
2332,item,1128
73,discrete,1125
2211,segment,1120
1485,diode,1117
2112,said,1117
1741,plus,1111
3180,shield,1107
2426,composition,1100
1214,check,1099
2536,airplane,1097
1684,machine,1093
1130,schedule,1092
497,max,1091
942,white,1088
778,duration,1088
530,latter,1087
818,bit,1087
2577,heater,1087
1622,circular,1086
3029,waste,1086
77,price,1085
2120,strong,1081
568,degradation,1079
55,scheme,1079
469,adequate,1077
975,bulk,1072
974,partial,1067
48,transient,1067
646,define,1066
2409,hour,1063
1287,word,1061
522,net,1060
697,find,1060
805,bus,1055
1176,acquisition,1054
213,via,1054
1907,map,1053
170,chapter,1050
2454,dry,1048
662,fully,1047
1561,modulus,1047
2126,observation,1041
35,abstract,1038
1949,recovery,1037
3764,flap,1036
553,absolute,1036
1294,experience,1035
990,compressor,1035
2786,visual,1032
1414,somewhat,1028
219,rev,1028
2201,contribution,1027
1968,contractor,1025
2011,crack,1016
2422,silver,1016
1922,automatic,1015
3514,cold,1013
931,manual,1013
268,dual,1013
342,package,1013
2695,tip,1011
412,clear,1009
1551,transverse,1009
2049,cloud,1009
2032,economic,1008
1780,knowledge,1007
112,bottom,1006
951,link,1006
999,approximate,1004
1589,incident,1003
1623,tension,1002
474,fit,1002
1564,spring,1001
1575,spatial,999
1894,origin,997
34,monitor,997
763,computation,997
1904,consistent,990
489,always,989
2033,nuclear,988
1331,preparation,987
551,among,987
1233,decision,986
3463,cone,982
3488,turbulent,979
3356,mesh,978
1393,whose,977
971,efficient,977
1116,though,975
2227,exhaust,975
381,evaluate,973
22,address,973
992,terminal,973
441,bandwidth,971
749,industry,970
512,almost,965
2145,inside,962
3257,maneuver,960
800,shaft,959
526,sum,959
2433,mercury,958
1010,scan,958
403,clock,957
2469,box,952
1198,pure,946
1405,junction,945
813,contain,945
289,perform,944
2013,fracture,942
884,pas,939
3173,coil,938
276,operate,931
1574,impulse,928
2410,cruise,928
704,choice,927
1927,root,922
2059,residual,921
1162,like,921
4166,shell,919
774,event,919
17,title,918
187,often,916
2130,history,916
3200,visible,913
3210,meter,913
2325,land,912
4935,avail,908
2489,specie,906
2057,viscosity,905
1276,vary,902
2601,entry,901
71,processor,901
976,controller,895
1087,permit,891
2475,molecular,891
1273,transmitter,890
1616,spin,888
767,cylinder,886
260,threshold,885
582,satisfactory,884
802,representative,884
666,simply,883
31,tech,878
5838,propeller,870
597,establish,869
2543,planetary,866
812,access,864
2883,latitude,863
1422,hole,863
750,society,862
808,card,860
221,precision,860
1045,beyond,856
2833,deposition,854
6069,flutter,853
1692,cryogenic,852
2517,exact,852
1364,past,851
1547,rapid,847
1033,double,845
438,held,843
983,maintain,842
2121,furnace,840
589,interference,840
1936,industrial,840
3131,yaw,839
2451,drift,839
2062,grain,838
275,correct,838
2040,corrosion,837
2104,inertia,836
2134,black,835
1089,advantage,835
1411,bias,833
2928,telescope,830
714,affect,829
573,sensitive,828
1157,algorithm,828
1703,helium,828
2003,ceramic,825
1345,search,821
47,impedance,820
716,calculate,818
2230,bed,818
1149,great,818
329,instead,817
989,coverage,817
2391,delta,817
1715,lens,816
1024,transistor,814
2117,removal,813
252,achieve,813
12,lewis,812
443,valid,811
1797,theorem,808
27,grant,808
1906,joint,806
1978,south,806
302,whereas,806
854,extensive,805
1268,ideal,803
1081,human,803
1151,yet,801
521,reason,801
2019,sphere,797
4421,radiometer,797
1696,kinetic,797
3178,screen,795
2322,ray,795
1040,role,794
2296,shuttle,794
1454,away,794
1625,sea,793
4381,moisture,792
1056,baseline,791
54,unique,790
2397,argon,790
481,severe,790
543,downstream,789
2569,azimuth,787
2096,examination,786
1789,excess,785
1686,cut,784
2224,nickel,784
535,property,783
761,branch,781
906,eight,779
1163,offset,778
1875,furthermore,778
63,attempt,774
2263,federal,772
1048,literature,770
215,implementation,768
3222,mixture,768
1445,dioxide,766
897,track,766
1370,depend,764
856,variety,764
385,meet,763
2277,graphite,762
227,select,759
2056,plastic,758
3773,tail,757
3471,sodium,752
236,category,748
1826,formula,743
1527,adjacent,743
2020,aid,742
1643,excitation,742
1668,breakdown,741
758,library,739
870,leakage,736
600,already,734
1714,guide,730
950,consumption,730
894,window,730
987,gate,729
2731,ice,729
1046,extension,727
2172,pin,727
2082,age,726
249,apply,725
2200,dust,720
604,minor,719
1823,question,717
3768,chord,716
1230,conclusion,714
2420,iron,711
671,tool,708
256,brief,708
133,vii,708
487,contrast,707
2910,director,706
625,satisfy,706
2481,planet,704
5216,potassium,704
506,sense,704
603,constraint,701
1093,market,699
1305,gap,698
911,transportation,697
825,trace,697
1620,perpendicular,696
4099,steam,695
435,pair,695
83,successful,694
2818,transonic,693
206,feature,693
4304,atomic,693
271,improve,692
1608,polar,691
2039,deformation,689
2380,bay,689
2914,crew,688
1756,object,687
1212,routine,687
681,negligible,685
2047,weather,684
570,evident,680
2065,describe,680
563,log,678
439,arbitrary,678
3776,fuselage,676
2503,reflectance,676
546,referred,675
2217,dimension,674
193,lack,671
1062,transmitted,670
1301,identify,670
233,disturbance,670
1249,principle,669
1472,minute,665
5788,proton,664
1106,scope,663
1073,fundamental,663
1299,straight,663
1533,deep,662
2725,fin,660
913,fast,660
1496,lab,659
966,board,658
2449,moon,655
2661,symposium,654
5508,gage,653
2830,electrolyte,651
1785,fall,651
1959,magnet,650
2588,wheel,649
162,doe,649
4584,crop,648
472,ten,648
2072,inertial,647
2435,hard,646
688,tire,646
1735,heavy,646
744,trans,645
1125,platform,641
1849,slight,641
2699,chart,636
1334,onto,636
1541,aspect,636
673,stop,635
1834,sign,633
3347,imagery,632
2067,rigid,631
865,beginning,630
1086,perhaps,630
259,generate,630
1181,exchange,629
845,transducer,628
2413,west,628
1244,enter,627
2515,alternate,625
2888,crater,625
1303,thereby,625
3163,torr,625
2874,longitude,623
468,passive,623
1391,quartz,623
1408,dielectric,621
708,built,620
2257,prototype,620
635,decay,620
2632,act,619
2078,interpretation,617
1487,exhibit,616
4045,pipe,615
1699,difficulty,615
962,hybrid,614
1320,seven,612
4084,spray,612
2564,checkout,611
3128,van,610
2648,bond,609
1260,otherwise,608
1226,member,608
898,hold,607
1588,envelope,605
670,compute,605
2365,transformation,605
637,symbol,605
674,feasible,604
2352,stationary,603
263,rectangular,602
2192,powder,600
1342,count,599
644,chip,597
1275,node,596
1036,video,596
347,alone,596
286,tend,594
2135,aft,594
1813,pad,593
709,excellent,593
735,follow,591
75,domain,591
3203,inventory,590
1743,man,589
3746,truss,588
1448,quantum,588
847,fourth,586
1423,resultant,585
1871,synthesis,583
2184,passage,582
1207,copy,580
3157,clean,579
3249,stimulus,579
368,tile,578
1185,terrestrial,577
1548,version,577
533,percentage,577
3368,indirect,574
2455,cent,573
1736,drawn,573
1726,emphasis,573
2041,erosion,570
2955,viscous,569
1539,red,569
2556,port,568
4531,organic,567
830,piston,566
2792,ozone,566
980,trend,565
1112,periodic,565
1042,essential,564
84,completion,564
1355,correspond,563
641,bound,560
1428,opposite,559
752,responsible,558
2840,sulfur,558
188,practice,558
1774,get,557
1671,arm,557
3656,symmetry,556
2356,gross,556
1061,narrow,555
1190,sent,555
3148,herein,554
1747,epoxy,551
1773,broad,551
1663,disc,550
91,substantial,550
90,led,549
1583,cutoff,549
1051,suggest,548
5954,porous,548
2286,lifetime,548
629,eliminate,546
839,rod,546
361,extreme,545
1365,quantitative,545
811,binary,544
888,flexible,540
3564,tensor,539
1690,fine,538
1562,dispersion,538
803,blank,538
1867,smith,537
769,sweep,537
3486,circumferential,537
287,utility,536
588,military,533
2464,submitted,533
2403,ocean,532
1012,burst,531
2652,gamma,531
601,put,531
2714,tilt,531
156,resistor,531
5924,membrane,531
883,circuitry,531
1919,evolution,531
2490,sure,530
616,avoid,529
1974,belt,528
2596,polynomial,527
1776,city,527
4165,observatory,527
1011,occurring,526
3175,dark,524
2513,homogeneous,524
520,excessive,524
2701,month,524
3654,foil,524
267,serve,523
1021,demand,523
1099,focus,520
479,move,520
1328,lie,519
3264,invention,519
873,compare,519
1455,slow,518
3854,helicopter,518
1569,cable,518
4110,bridge,518
2516,span,518
1740,team,516
1641,tangential,516
964,message,515
3507,river,513
3194,orifice,512
1392,lithium,512
2753,chemistry,512
2968,policy,512
3307,coolant,512
3842,nose,511
1193,sink,511
612,obvious,511
3147,vendor,509
6729,foam,509
1619,smooth,509
2438,craft,509
2150,reflector,509
1174,seem,508
2108,neutral,507
1961,gear,507
1218,option,506
934,public,506
1255,exception,505
901,exceed,505
912,conservation,504
3195,gauge,504
3424,salt,503
5224,boron,503
401,fed,502
3599,compound,501
5648,dose,501
1066,candidate,501
824,increment,501
1577,strip,501
485,contour,500
2129,interior,500
230,goal,500
1595,east,500
5740,galactic,500
2533,lit,498
1650,behind,498
810,rear,497
2434,tungsten,497
891,reach,496
1362,ultimate,495
3784,tan,494
1526,relaxation,494
3119,hypothesis,494
2540,global,493
1716,driven,493
4446,cesium,493
225,adaptive,493
350,say,492
1389,picture,492
1737,build,491
2912,brown,491
4272,skin,491
814,auxiliary,490
1911,mar,489
775,ignition,489
785,predict,489
1413,inversion,488
1200,consist,488
1121,convenient,487
3295,suspension,487
2664,tor,487
1977,road,487
654,infinite,487
3780,upstream,486
903,compatible,486
415,margin,485
727,verify,484
665,concern,484
2050,radiant,483
1057,look,482
1806,became,482
682,help,482
2421,gold,481
5363,diet,481
430,pole,481
564,demonstrate,481
1399,moderate,480
2402,climb,480
1528,photon,479
2102,vicinity,478
2739,summer,478
852,bar,477
783,cyclic,477
707,solve,473
2097,engineer,473
952,packet,473
2658,memorandum,471
1979,coast,470
61,met,470
1484,unity,470
2534,print,470
5078,flare,470
1897,proof,470
3377,cosmic,469
1401,emitter,469
2933,hydraulic,467
978,viii,466
2034,fusion,466
3508,rock,466
2085,differ,466
1720,synchronous,466
3400,setup,466
28,beach,466
2278,neutron,465
6840,capsule,465
343,capacitance,465
1434,twice,465
1406,barrier,465
1758,row,464
3309,blood,464
1695,curvature,464
1639,million,463
1804,plug,463
1142,simultaneous,462
2295,takeoff,462
432,refer,461
499,character,461
1827,graph,460
3159,anode,459
457,illustrate,458
1083,slot,458
3381,nucleus,456
1256,redundant,456
2565,missile,456
995,bubble,455
1596,army,455
374,lot,453
925,book,452
80,numerous,452
1159,involve,451
2470,wet,450
3585,interferometer,450
1222,begin,449
1587,gave,448
1783,harmonic,447
554,contribute,446
1139,issue,445
2775,southern,445
1261,fill,445
2247,parabolic,445
1898,indeed,444
3951,suction,443
2472,transmittance,443
794,neither,442
3618,weld,442
2195,porosity,441
632,add,441
6044,adhesive,441
2512,collision,441
2576,pixel,441
2518,weak,441
1359,backup,438
829,store,438
2497,ppm,437
2344,western,437
594,sharp,437
410,investigate,436
5404,shop,436
2291,escape,435
923,private,434
4183,mot,433
4081,gaseous,431
2715,cap,430
1966,eddy,429
733,easy,429
315,controlling,428
207,inherent,428
2180,carbide,428
3232,island,428
1778,cascade,427
2935,floor,427
1517,cluster,426
4436,rim,426
1881,denote,425
3096,sigma,424
3134,ionosphere,423
307,distinct,423
4733,basin,423
1512,die,422
3767,centerline,422
1020,serious,421
2925,boom,420
142,ton,420
1848,precise,420
748,thesis,419
2584,fault,418
169,art,418
1380,dominant,418
1058,documentation,418
2545,hemisphere,417
1838,bypass,416
4686,lake,415
4410,storm,415
2248,focal,415
593,rig,415
1262,integer,415
602,match,414
2780,avenue,414
2487,usage,413
984,layout,413
3949,stator,412
790,flame,412
1281,keep,411
247,gust,411
1164,spread,410
1994,staff,410
2193,systematic,410
3785,inboard,409
2351,equatorial,409
1542,regard,409
3879,airport,408
3545,mount,408
843,clearance,407
1259,whole,407
1332,transferred,407
4157,reservoir,407
817,serial,406
3484,regression,406
1239,capital,406
2017,creep,404
3019,sketch,404
2228,catalyst,404
3547,park,403
1470,programming,403
3349,scene,403
1337,old,403
764,presentation,402
201,late,402
2166,assure,402
3252,terrain,401
1816,usual,400
1026,planar,400
1709,coherent,399
3665,wick,399
2702,cation,399
149,capacitor,398
2801,decomposition,398
1621,anisotropy,398
2694,hub,396
986,fire,395
525,transform,394
1752,conceptual,394
1879,continuity,394
1950,bureau,394
940,green,393
1407,metallic,392
2797,spectrometer,392
1546,success,392
1560,young,391
1211,lost,390
4917,geothermal,390
690,con,390
2241,trial,390
3132,ionospheric,390
574,slip,388
886,readout,388
1711,waveguide,387
858,finish,387
4650,snow,387
2292,raw,387
2748,college,386
2250,fixture,386
1313,text,385
732,analytic,384
3001,definite,383
3498,hall,383
1366,pertinent,383
232,examine,382
2526,mental,382
2087,continuum,381
3181,cage,381
1500,wafer,381
3568,dipole,381
14,prime,380
7027,honeycomb,379
8242,librarian,378
427,nevertheless,377
2480,airborne,376
1958,permanent,375
1132,reflect,375
1987,simulate,375
2404,kerosene,373
1188,receive,372
1803,cubic,372
2416,horizon,372
1508,naval,372
2919,ball,371
2186,pore,371
135,instantaneous,371
6182,cabin,369
458,kept,368
1592,tap,368
2188,exponent,367
2951,tower,367
1762,nine,366
3326,par,366
2523,modal,366
1216,voice,366
2572,winter,365
610,explanation,365
1632,rest,365
2138,derive,364
2305,sector,364
2598,fortran,363
3076,leg,363
39,boost,363
904,successive,363
1682,non,363
1453,leak,363
3947,shroud,363
4370,stand,363
1071,expect,362
618,rule,362
3884,airspeed,362
947,spot,361
4079,hydrocarbon,361
2776,street,360
2349,travel,360
1828,observe,360
1068,world,360
896,detect,360
177,sinusoidal,359
2793,workshop,358
2284,capture,357
1557,train,357
1769,stack,357
1519,lattice,356
2199,foreign,356
1880,extend,355
2583,health,355
4076,runoff,354
6011,gyro,354
2060,compressive,354
4426,aerial,354
3491,laminar,353
3917,sonic,353
449,qualitative,353
3607,lobe,353
354,felt,351
895,valley,351
2683,argument,350
3122,go,350
2539,academic,349
606,inclusion,349
2160,appearance,349
2477,professor,349
3216,balloon,349
969,traffic,349
1750,kind,349
3100,til,348
3420,agent,348
3403,paragraph,348
3188,grade,348
2094,preferred,348
1932,michigan,348
3892,runway,347
1955,publication,347
3402,diagonal,347
4142,vessel,347
4591,agricultural,347
3454,defect,346
653,post,346
3171,filament,345
2975,people,345
527,exponential,345
2943,thought,345
1820,suppose,343
78,fort,342
6682,parachute,342
3942,deposit,342
2338,equipped,342
1227,discus,341
2498,zenith,341
577,sine,341
6397,windward,340
1666,agree,339
1,handbook,339
3601,ship,339
1480,regime,338
3661,inclination,338
6396,leeward,338
2615,lock,337
6916,diaphragm,336
222,superior,336
1680,break,336
3652,horn,335
677,never,335
2899,sky,335
524,inverse,335
323,assurance,334
972,bibliography,334
2181,explosive,334
4055,circle,333
1421,mobility,333
461,family,333
2814,know,333
370,atom,332
740,patent,332
352,mark,332
2310,article,332
4406,northern,331
1971,began,331
1817,proportion,331
5947,accelerometer,330
615,introduce,330
1070,budget,330
1514,diffuse,330
3427,chloride,330
1506,middle,330
781,burn,330
4167,stellar,329
433,locus,328
3266,math,328
3172,crucible,327
4411,anomaly,327
6132,hydrostatic,327
5976,laminate,327
4576,capillary,327
3481,von,327
1768,come,327
1347,idea,325
67,relevant,325
2028,alumina,325
2834,tendency,325
2985,chief,325
327,safe,324
3520,night,323
1404,drain,323
2105,permitted,323
3457,photography,322
2809,lamp,321
68,facilitate,321
3301,tat,321
1885,compact,321
3930,downwind,320
4877,coastal,320
2868,arrival,320
1771,conductor,320
4541,flange,320
2640,bank,320
2554,gimbal,320
15,accession,319
1689,bright,319
2234,silica,319
2068,relief,317
668,lag,317
1430,conduct,317
2853,commission,316
2672,throat,316
3987,vane,316
257,bath,316
2495,emitted,316
4486,minus,315
446,apart,315
2407,descent,314
1815,departure,314
4583,polymer,314
5192,solvent,314
3153,adhesion,314
447,rain,314
1599,grown,313
3783,swept,313
580,penalty,313
2456,spiral,313
1469,mask,312
3285,piece,312
3672,cool,311
691,simplicity,311
1841,prove,310
585,fail,310
3542,ridge,309
650,substitution,309
274,transmit,307
1072,remainder,307
4738,fish,307
167,alto,307
2945,moreover,306
8517,venous,306
1363,conservative,306
1482,execution,305
1646,seed,305
3500,seasonal,304
1775,care,304
2593,language,303
1724,explicit,303
2679,trim,302
453,asymptotic,302
2418,ordinary,302
2747,molybdenum,301
1173,fashion,301
161,tit,301
2212,freedom,301
1944,fore,301
1166,oven,301
2095,insure,301
5687,projectile,301
2027,comparative,300
1447,brought,300
1490,volt,300
1429,appreciable,299
2555,servo,299
4506,ink,299
2757,week,299
4516,methanol,298
3051,workload,298
6437,mylar,297
1312,carry,297
1382,ass,297
2548,synthetic,297
3404,energetic,296
3664,compressible,296
1180,rough,296
2000,drum,296
1210,whenever,295
3634,temporal,294
1633,soft,294
2161,methodology,294
3193,melt,294
2101,immediate,293
